Feature,Mean_Abs_SHAP
ExternalRiskEstimate,0.54944444
MSinceMostRecentInqexcl7days,0.22192496
NetFractionRevolvingBurden,0.20410632
AverageMInFile,0.19021799
NumSatisfactoryTrades,0.12690516
PercentInstallTrades,0.11696517
PercentTradesNeverDelq,0.11400106
MSinceMostRecentDelq,0.081799105
NumRevolvingTradesWBalance,0.079835854
MaxDelq2PublicRecLast12M,0.06886715
MSinceOldestTradeOpen,0.06295817
NumTotalTrades,0.059640963
NumInstallTradesWBalance,0.03948694
NumInqLast6M,0.03864763
PercentTradesWBalance,0.03572789
MaxDelqEver,0.032552205
NumBank2NatlTradesWHighUtilization,0.0315162
NetFractionInstallBurden,0.029950589
NumTradesOpeninLast12M,0.021498721
MSinceMostRecentTradeOpen,0.012874235
NumTrades90Ever2DerogPubRec,0.006862088
NumTrades60Ever2DerogPubRec,0.002696062
NumInqLast6Mexcl7days,0.0023315013
