Feature,Importance
ExternalRiskEstimate,0.3782133
PercentTradesNeverDelq,0.098122165
NetFractionRevolvingBurden,0.09125335
MSinceMostRecentInqexcl7days,0.059705444
AverageMInFile,0.0517095
PercentTradesWBalance,0.050493143
NumSatisfactoryTrades,0.03341197
MSinceMostRecentDelq,0.02654205
PercentInstallTrades,0.022725277
MSinceOldestTradeOpen,0.022667779
NumBank2NatlTradesWHighUtilization,0.022150869
NumTotalTrades,0.019233027
MaxDelq2PublicRecLast12M,0.018039914
MaxDelqEver,0.015403944
NumRevolvingTradesWBalance,0.013153126
MSinceMostRecentTradeOpen,0.013010747
NetFractionInstallBurden,0.011516813
NumInqLast6M,0.00974204
NumTradesOpeninLast12M,0.009690568
NumInstallTradesWBalance,0.009098892
NumInqLast6Mexcl7days,0.008994684
NumTrades90Ever2DerogPubRec,0.0087162
NumTrades60Ever2DerogPubRec,0.0064053396
